Wavelength (nm),SLS201L Power (a.u.)
440.93,0.241916141
441.14,0.242041241
441.35,0.242078194
441.56,0.242107011
441.77,0.242222279
441.98,0.242287371
442.19,0.242388739
442.4,0.242527399
442.61,0.242705386
442.82,0.24275285
443.03,0.242769123
443.25,0.242803364
443.46,0.242793193
443.67,0.242886425
443.88,0.242883712
444.09,0.242892866
444.3,0.242812518
444.51,0.242800313
444.72,0.242866083
444.93,0.242991522
445.14,0.243064751
445.35,0.243014236
445.56,0.243076277
445.77,0.243263757
445.98,0.243310542
446.19,0.243305457
446.4,0.243388517
446.61,0.243419707
446.82,0.243323764
447.03,0.243286132
447.24,0.243233584
447.45,0.243473273
447.66,0.243529212
447.87,0.243597694
448.08,0.243659057
448.29,0.243621087
448.5,0.243452254
448.71,0.243485139
448.92,0.243714996
449.13,0.24373093
449.34,0.243608882
449.55,0.243650243
449.76,0.24365126
449.97,0.243577692
450.18,0.243569894
450.39,0.24357498
450.6,0.243423098
450.81,0.243352242
451.02,0.24339089
451.23,0.243486834
451.44,0.243493953
451.65,0.243572607
451.86,0.243614984
452.07,0.243700079
452.28,0.243773308
452.49,0.243799413
452.7,0.243663465
452.91,0.243639394
453.12,0.243605492
453.33,0.243554977
453.54,0.243648887
453.75,0.243583794
453.96,0.243617697
454.17,0.243533958
454.38,0.243493275
454.59,0.24346039
454.79,0.243519719
455,0.243353937
455.21,0.243376651
455.42,0.243295625
455.63,0.24325935
455.84,0.243241381
456.05,0.243144421
456.26,0.243141031
456.47,0.243143404
456.68,0.243011185
456.89,0.243072209
457.1,0.243023729
457.31,0.243084075
457.52,0.243117638
457.73,0.243115265
457.94,0.243058309
458.15,0.243108823
458.36,0.243194935
458.57,0.243100009
458.78,0.242966095
458.99,0.242958636
459.2,0.242936939
459.41,0.242958297
459.62,0.242859303
459.83,0.242848454
460.03,0.242860659
460.24,0.242796923
460.45,0.242832859
460.66,0.242830486
460.87,0.242673179
461.08,0.242625716
461.29,0.242599611
461.5,0.242533163
461.71,0.242460273
461.92,0.242329071
462.13,0.242375517
462.34,0.242319239
462.55,0.242262962
462.76,0.242201599
462.97,0.242185664
463.18,0.242135828
463.38,0.241989031
463.59,0.241967334
463.8,0.241945975
464.01,0.24186461
464.22,0.241805281
464.43,0.241801213
464.64,0.241785618
464.85,0.241732391
465.06,0.241801891
465.27,0.241827317
465.48,0.241794093
465.69,0.241697472
465.89,0.241696794
466.1,0.241724254
466.31,0.241765954
466.52,0.241720186
466.73,0.241704252
466.94,0.241791381
467.15,0.24175714
467.36,0.241748664
467.57,0.241815452
467.78,0.241882239
467.99,0.241851388
468.19,0.241740528
468.4,0.24180562
468.61,0.241737815
468.82,0.241661196
469.03,0.241526604
469.24,0.241597121
469.45,0.241523214
469.66,0.241396758
469.87,0.2414866
470.08,0.241570677
470.28,0.241592036
470.49,0.241570677
470.7,0.24158356
470.91,0.241608987
471.12,0.241653399
471.33,0.241758157
471.54,0.241748325
471.75,0.241742223
471.96,0.241693742
472.16,0.241688996
472.37,0.241690691
472.58,0.24173273
472.79,0.241824944
473,0.2418541
473.21,0.241855456
473.42,0.241950383
473.63,0.241996829
473.84,0.242044631
474.04,0.242137862
474.25,0.242162611
474.46,0.242210413
474.67,0.242186003
474.88,0.242302288
475.09,0.242428066
475.3,0.242512482
475.5,0.242595882
475.71,0.242730813
475.92,0.242819298
476.13,0.242958975
476.34,0.243062716
476.55,0.243158321
476.76,0.243300032
476.96,0.243428522
477.17,0.243551926
477.38,0.243674313
477.59,0.243778393
477.8,0.243959093
478.01,0.244088599
478.22,0.244233362
478.42,0.24439711
478.63,0.244530007
478.84,0.244719521
479.05,0.244875471
479.26,0.244996841
479.47,0.245134146
479.68,0.245300945
479.88,0.245445707
480.09,0.245620982
480.3,0.245821684
480.51,0.245968481
480.72,0.246170538
480.93,0.246334286
481.13,0.246503798
481.34,0.246683141
481.55,0.246926898
481.76,0.247152009
481.97,0.247378476
482.18,0.247622234
482.38,0.247844294
482.59,0.248096188
482.8,0.248309772
483.01,0.248572854
483.22,0.248811187
483.43,0.249071556
483.63,0.249340401
483.84,0.249629927
484.05,0.249893008
484.26,0.250199824
484.47,0.250459854
484.68,0.250801589
484.88,0.251136883
485.09,0.251442003
485.3,0.251771194
485.51,0.252124456
485.72,0.252370587
485.92,0.252711305
486.13,0.253023205
486.34,0.253404945
486.55,0.253720236
486.76,0.25403824
486.96,0.254287082
487.17,0.254566776
487.38,0.254875626
487.59,0.255158032
487.8,0.255508242
488,0.255865911
488.21,0.256229344
488.42,0.256584301
488.63,0.25690027
488.84,0.257231834
489.04,0.257549499
489.25,0.257888182
489.46,0.258246529
489.67,0.258689632
489.88,0.259038487
490.08,0.25942938
490.29,0.259837224
490.5,0.260196927
490.71,0.260553918
490.92,0.26089667
491.12,0.261293666
491.33,0.26172931
491.54,0.262125289
491.75,0.26260026
491.95,0.263040311
492.16,0.263504773
492.37,0.263930246
492.58,0.264413693
492.79,0.264862898
492.99,0.265335835
493.2,0.265780632
493.41,0.26622204
493.62,0.266657684
493.82,0.267116043
494.03,0.267565248
494.24,0.267997163
494.45,0.268458573
494.65,0.268922695
494.86,0.269353593
495.07,0.269782796
495.28,0.270215389
495.49,0.270635439
495.69,0.271071422
495.9,0.271512151
496.11,0.271974579
496.32,0.27242514
496.52,0.272878752
496.73,0.273280155
496.94,0.273766653
497.15,0.274196195
497.35,0.274640993
497.56,0.275061381
497.77,0.27551974
497.98,0.276055057
498.18,0.276580203
498.39,0.277067379
498.6,0.277552181
498.81,0.278026135
499.01,0.278488562
499.22,0.279001843
499.43,0.279499528
499.64,0.279965684
499.84,0.280492526
500.05,0.280975633
500.26,0.281474336
500.46,0.281955748
500.67,0.282403597
500.88,0.282848734
501.09,0.283324383
501.29,0.283830205
501.5,0.284301447
501.71,0.284797098
501.92,0.28530631
502.12,0.285788739
502.33,0.286244725
502.54,0.286708847
502.74,0.287154662
502.95,0.287636075
503.16,0.288098163
503.37,0.288595848
503.57,0.289022339
503.78,0.289525787
503.99,0.289982112
504.19,0.290422842
504.4,0.290865266
504.61,0.291331084
504.82,0.291775882
505.02,0.292260345
505.23,0.292694294
505.44,0.293148585
505.64,0.293601858
505.85,0.294061573
506.06,0.294535866
506.27,0.295011176
506.47,0.295470213
506.68,0.295902806
506.89,0.296345231
507.09,0.296760194
507.3,0.297207705
507.51,0.297648434
507.71,0.298096961
507.92,0.298570915
508.13,0.299056735
508.33,0.299538825
508.54,0.299994133
508.75,0.300472833
508.96,0.30092814
509.16,0.301411248
509.37,0.301919104
509.58,0.302391702
509.78,0.302892438
509.99,0.303420975
510.2,0.303819666
510.4,0.304349558
510.61,0.304869619
510.82,0.305340522
511.02,0.3058338
511.23,0.306394544
511.44,0.306937997
511.64,0.307480434
511.85,0.307976424
512.06,0.308512758
512.26,0.309011799
512.47,0.309517282
512.68,0.310033614
512.88,0.310537741
513.09,0.310995422
513.3,0.311550402
513.5,0.31203317
513.71,0.312487122
513.92,0.312967178
514.12,0.313502834
514.33,0.314042558
514.54,0.314584995
514.74,0.315146417
514.95,0.315704109
515.16,0.316244511
515.36,0.316777455
515.57,0.317359218
515.78,0.317946067
515.98,0.318547493
516.19,0.319053654
516.4,0.319576766
516.6,0.320103268
516.81,0.320691134
517.01,0.321275609
517.22,0.321889918
517.43,0.322508296
517.63,0.323162271
517.84,0.323823365
518.05,0.324412587
518.25,0.325035711
518.46,0.325584928
518.67,0.326190761
518.87,0.326827446
519.08,0.327387512
519.28,0.327975038
519.49,0.328493404
519.7,0.329044655
519.9,0.329528102
520.11,0.330054943
520.32,0.330619077
520.52,0.331168633
520.73,0.331719545
520.93,0.332301647
521.14,0.332884766
521.35,0.333472293
521.55,0.334093721
521.76,0.334674467
521.96,0.335223006
522.17,0.335784767
522.38,0.336326864
522.58,0.33686591
522.79,0.337479881
523,0.3380769
523.2,0.338676631
523.41,0.339330945
523.61,0.339909657
523.82,0.340479893
524.03,0.341087422
524.23,0.3416224
524.44,0.342218402
524.64,0.342817455
524.85,0.343436172
525.06,0.344042006
525.26,0.344680385
525.47,0.345264861
525.67,0.345852726
525.88,0.346467035
526.09,0.347050833
526.29,0.347624798
526.5,0.34822419
526.7,0.348802224
526.91,0.349336863
527.11,0.349890487
527.32,0.350435636
527.53,0.351016721
527.73,0.351550343
527.94,0.352121257
528.14,0.352742008
528.35,0.353296988
528.56,0.353857732
528.76,0.354435766
528.97,0.355030412
529.17,0.355601326
529.38,0.356192243
529.58,0.35686622
529.79,0.357441881
530,0.358061953
530.2,0.358650836
530.41,0.359251923
530.61,0.359953361
530.82,0.360528683
531.02,0.361127058
531.23,0.361747131
531.43,0.362344489
531.64,0.362893706
531.85,0.363462247
532.05,0.363975867
532.26,0.364558647
532.46,0.36514041
532.67,0.3656642
532.87,0.366223588
533.08,0.366754836
533.28,0.367325751
533.49,0.36790548
533.7,0.368437406
533.9,0.368932719
534.11,0.369537535
534.31,0.370095906
534.52,0.370640715
534.72,0.371206205
534.93,0.371778476
535.13,0.372322268
535.34,0.372889792
535.54,0.373474946
535.75,0.374069931
535.95,0.374621521
536.16,0.375163957
536.37,0.37570063
536.57,0.376256288
536.78,0.376851951
536.98,0.3774527
537.19,0.377987678
537.39,0.378537234
537.6,0.379115268
537.8,0.379593629
538.01,0.38008589
538.21,0.380532383
538.42,0.381047697
538.62,0.381528771
538.83,0.382045102
539.03,0.382517022
539.24,0.382962837
539.44,0.383461539
539.65,0.383996517
539.85,0.384486405
540.06,0.384988498
540.26,0.385545173
540.47,0.386096085
540.67,0.386593432
540.88,0.387109086
541.08,0.387566088
541.29,0.388020379
541.49,0.388548237
541.7,0.389028632
541.9,0.38949106
542.11,0.389974845
542.31,0.390493211
542.52,0.39097225
542.72,0.391493667
542.93,0.392056784
543.13,0.392565996
543.34,0.393100974
543.54,0.393557977
543.75,0.394003114
543.95,0.394527243
544.16,0.395018148
544.36,0.395437519
544.57,0.395960631
544.77,0.39646069
544.98,0.396936
545.18,0.397392663
545.39,0.397908317
545.59,0.398337859
545.8,0.398851817
546,0.399378659
546.21,0.399890583
546.41,0.4004537
546.62,0.400925281
546.82,0.401406015
547.03,0.401968793
547.23,0.402492922
547.43,0.403055022
