# p_696_57, p_706_73,p_738_45,p_750_42, p_751_52, p_763_55, p_772_44, p_794_90, p_800_70, p_801_57, p_810_43,p_811_58, p_826_49, p_840_90, p_842_53, p_852_21, p_912_33, p_922_48,p_965_80, Ion Density (1/m3), Electron Density (1/m3),Electron Temperature (eV),Pressure Upstream (Torr),Pressure Downstream (mTorr), Plasma Power (W),fit10, fit11, fit12, fit13, fit14, fit15,H2_Flow_Rate (sccm), He_Flow_Rate,Argon Flow Rate (sccm)
0.128713343,0.192118297,0.217125128,0.441073844,0.324725659,0.489215069,0.258865599,0.23380098,0.254267882,0.455432355,0.279783484,1.526438709,0.174557104,0.308413256,0.545525607,0.200144791,0.47230972,0.164913708,0.187108225,3.95E+16,4.18E+16,3.219099106,0.61,64.9,70,0.286586775,0.56428157,0.884898952,0.703821634,1.972696517,6.254942857,3,0,90
0.136897163,0.197730713,0.228846759,0.29187986,0.247134998,0.472634818,0.238431543,0.208554202,0.226481073,0.405700638,0.244600927,1.389398449,0.158048238,0.305078284,0.457464234,0.182318285,0.388013581,0.126788242,0.149473862,1.18E+17,1.28E+17,2.965713196,0.61,85,115,0.418930975,0.66220132,1.104949673,0.710917756,1.685596531,5.160309633,3,0,90
0.127460529,0.180327131,0.216851582,0.32240988,0.254997657,0.472876456,0.249176929,0.232426736,0.243263652,0.39442127,0.2632742,1.463477339,0.167418306,0.310613669,0.51089646,0.194858808,0.445223537,0.143192235,0.159030493,6.12E+16,7.14E+16,3.105767952,0.61,75.3,90,0.314617718,0.583056585,0.899231061,0.707183613,1.879406781,5.866439877,3,0,90
0.149212053,0.215833732,0.269253002,0.450049485,0.337425578,0.587592701,0.258857344,0.274819223,0.313962796,0.514674739,0.338440833,2.003505606,0.218661023,0.384858699,0.65565994,0.270451577,0.58388095,0.184131271,0.202472625,7.53E+16,1.08E+17,3.104089306,0.42,40,115,0.172390927,0.487922016,0.352160675,0.642147613,1.492325455,5.067670599,3,0,50
0.172687076,0.254803962,0.322617214,0.602500046,0.419006428,0.670202708,0.318752827,0.323351688,0.359009356,0.59388213,0.398689532,2.111049221,0.26957988,0.47988074,0.750868063,0.320861147,0.686481402,0.219261613,0.244420883,5.38E+16,6.14E+16,3.175055136,0.42,60.7,100,0.257691342,0.545988641,0.737631504,0.698514276,1.812657624,5.889743227,3,0,50
0.148493946,0.241027847,0.26161949,0.374088525,0.320904241,0.572915929,0.300761379,0.281885367,0.278976066,0.517979321,0.308845946,1.757048715,0.190182025,0.344622292,0.614310896,0.230543096,0.532049749,0.166601272,0.182015023,8.80E+16,1.31E+17,2.993925467,0.61,64.9,108,0.350111621,0.614663743,0.844896501,0.682624556,1.617721692,5.130725096,3,0,90
0.174992093,0.250617102,0.281160701,0.395916296,0.343000063,0.575056052,0.304234419,0.258437725,0.303500001,0.543674867,0.306356137,1.779245691,0.184494613,0.363034376,0.56527377,0.221783694,0.527561277,0.171694426,0.194406204,8.00E+16,1.20E+17,3.022485999,0.61,45,100,0.224985438,0.525286854,0.449738652,0.644802996,1.50445575,4.975764786,3,0,90
0.052481336,0.081369882,0.095658444,0.169043856,0.129256635,0.225436426,0.11643748,0.121636268,0.128665809,0.218502123,0.141621901,0.779284035,0.087312332,0.146177901,0.251766011,0.094238061,0.190603006,0.066403088,0.076587976,5.91E+16,6.09E+16,3.170281388,0.52,70.2,90,0.311208302,0.581860453,0.933587028,0.705219028,1.934566961,6.081039883,3,0,70
0.153879491,0.227290333,0.283515322,0.473925409,0.345682036,0.608800876,0.27727712,0.2799743,0.317447402,0.531450955,0.350206478,1.998153023,0.226649133,0.408583715,0.65450562,0.280721456,0.60977231,0.191557226,0.206734125,7.24E+16,9.78E+16,3.131583332,0.42,50.2,115,0.183936006,0.494445116,0.431699206,0.670400823,1.625129912,5.425088291,3,0,50
0.168327742,0.238497647,0.284505753,0.369168287,0.322342336,0.638681046,0.312022496,0.295224069,0.312893366,0.519346793,0.329824288,1.990013366,0.201705082,0.370698307,0.646736851,0.242532935,0.552458418,0.172133715,0.199953759,8.35E+16,1.25E+17,3.016106901,0.61,55.1,100,0.293278177,0.574772556,0.659379109,0.665836499,1.572322436,5.099383857,3,0,90
0.124033342,0.176136104,0.240526855,0.495211205,0.312289486,0.476786879,0.247393507,0.246432584,0.255327323,0.431130033,0.297761828,1.353167143,0.200686988,0.361623943,0.54619682,0.230345252,0.508357172,0.155623645,0.173401493,4.50E+16,4.73E+16,3.092363827,0.42,85,108,0.399938468,0.64258115,1.265533608,0.73120968,1.925372696,5.884040622,3,0,50
0.106622641,0.147683817,0.180469801,0.303244951,0.231834388,0.394543005,0.210016902,0.191706704,0.208430873,0.324565069,0.227069199,1.224844153,0.141872576,0.269350136,0.44193887,0.168051495,0.386609696,0.126309562,0.138094666,4.85E+16,5.12E+16,3.154193196,0.61,75.3,80,0.362326837,0.618897983,1.135248036,0.708594094,1.99826533,6.16995436,3,0,90
